video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/KrurpZKcTj4,/@msnbc,MSNBC,Kornacki on Biden's general election challenges,67K,2 days,"Steve Kornacki takes a look at the likely general election matchup between President Joe Biden and Donald Trump, and the ...",2024-01-26 05:31:29.010654
/watch?v=RFNCpE1wcHQ&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@TODAY,TODAY,"Biden, Trump deadlocked in hypothetical rematch, latest poll shows",181K,4 months,The newest national NBC News poll shows President Biden and former President Donald Trump in a dead heat in a potential ...,2024-01-26 05:31:29.015106
/watch?v=Z4MsJw5FryA&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@SkyNewsAustralia,Sky News Australia,Joe Biden predicted to pull out of the 2024 presidential election,11K,2 weeks,JP Morgan's leading analyst has predicted US President Joe Biden will pull out of the 2024 election amid his declining health and ...,2024-01-26 05:31:29.017529
/watch?v=7ZO5OMrnfXM&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@JoeBiden,Joe Biden,Flag | Biden-Harris 2024,451K,8 months,#JoeBiden.,2024-01-26 05:31:29.021073
/watch?v=DNxRDGn5loM&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@msnbc,MSNBC,'Loser': Biden uncorks on Trump in fiery speech kicking off 2024,840K,2 weeks,President Joe Biden slammed former President Donald Trump's attempt to overturn the 2020 election and refusing to denounce ...,2024-01-26 05:31:40.033945
/watch?v=yW8nIA33-zY&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@wsj,The Wall Street Journal,Full Presidential Debate: President Trump and Joe Biden | WSJ,4.8M,3 years,Watch the first 2020 presidential debate between President Trump and Democratic nominee Joe Biden in Cleveland. More from ...,2024-01-26 05:31:40.038739
/shorts/ytzeV3g4Gyk,/@NBCNews,NBC News,"#Voters sour on #Trump, #Biden rematch in #2024, poll finds",125K,9 months,"NBC News Political Director and Moderator of ""Meet the Press"" breaks down the latest NBC News national poll. » Subscribe to ...",2024-01-26 05:31:40.041996
/watch?v=uz_CX0h2Uh8&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@BBCNews,BBC News,US election 2024: Joe Biden says stopping Donald Trump is motivation to run | BBC News,107K,1 month,US President Joe Biden has said part of his motivation to run for a second term next year is to prevent the return of Donald Trump.,2024-01-26 05:31:40.045523
/watch?v=3GP2MDgI7ic&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@guardiannews,Guardian News,Joe Biden confirms 2024 re-election bid in video announcement,98K,9 months,"The president, famously nostalgic, chose to launch his campaign on the fourth anniversary of his return to politics in 2019, when ...",2024-01-26 05:31:40.049275
/watch?v=fFhAhpGPUYU&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@CBSChicago,CBS Chicago,President Biden reacts to vote for impeachment investigation,119K,1 month,The vote took place in the U.S. House of Representatives to begin formally investigating him for impeachment. CBS 2's Natalie ...,2024-01-26 05:31:40.052665
/watch?v=prFjFLPOaQQ&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@nypost,New York Post,‘Joe Biden’ tells New Hampshire Dems not to vote in primary in deepfake controversy,81K,3 days,"Deepfakes have arrived at the New Hampshire primary. Ahead of Tuesday's vote, Granite State Democrats are receiving ...",2024-01-26 05:31:40.055843
/watch?v=ofkPfm3tFxo&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@FoxNews,Fox News,Trump-Biden presidential debate moderated by Chris Wallace | FULL,7.8M,Streamed 3 years,President Donald Trump and former Vice President Joe Biden went head-to-head in the first presidential debate between the two ...,2024-01-26 05:31:40.061345
/shorts/gzFHYaS2rYk,/@nowthisnews,NowThis News,Biden: It'd Be 'Fun' to Watch Trump & DeSantis in 2024 Election,846K,1 year,"For more from U.S. news & politics, subscribe to @NowThisNews. #biden #desantis #trump #politics #news #nowthis Connect ...",2024-01-26 05:31:40.064555
/watch?v=dJ87PuCecT4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@markets,Bloomberg Television,"Kevin McCarthy on Trump, Border Security, 2024 Election",6K,1 day,Former House Speaker Kevin McCarthy discusses the potential rematch of Joe Biden and Donald Trump in the 2024 presidential ...,2024-01-26 05:31:40.067901
/shorts/f7lms092xz8,/@InsiderNews,Insider News,Watch how #Biden has aged from 1974 to 2022. #shorts #gerontocracy #presidents #insidernews,3.1M,1 year,Insider's mission is to inform and inspire. Subscribe to our channel and visit us at: https://www.insider.com/news Insider on ...,2024-01-26 05:31:40.071210
/watch?v=XBthAzv8yvk&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@msnbc,MSNBC,Biden warns of 'dictatorship' in 2024 election: 'Freedom is on the ballot',14K,2 weeks,"MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives.",2024-01-26 05:31:40.074368
/watch?v=xiLR4sCgvnc&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@ABCNews,ABC News,Joe Biden's full speech after becoming president-elect,3.8M,3 years,"The former vice president said, ""This is a time for America to heal."" READ MORE: https://abcn.ws/3eCoCuu Joe Biden and Kamala ...",2024-01-26 05:31:40.077965
/watch?v=yWCt1D5MYgI&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@WVECTelevisionInc,13News Now,Poll: President Biden losing ground among voters,15K,3 weeks,"Former President Trump is set to appeal decisions barring him from the primary ballot in Colorado and Maine. Meanwhile, another ...",2024-01-26 05:31:40.081551
/watch?v=ySWhRICkkqU&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@msnbc,MSNBC,Biden treating Trump as their de-facto opponent in 2024 Election ahead of January 6 speech,130K,3 weeks,"Jason Johnson, Professor of Politics and Journalism at Morgan State University, Molly Jong Fast Special Correspondent for Vanity ...",2024-01-26 05:31:40.084678
/watch?v=UjhmcmFU3a8&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@NBCNews,NBC News,Poll shows Biden losing support among young voters ahead of 2024 election,78K,1 month,"Young voters were an essential part of the coalition that propelled President Biden to the White House in 2020. However, a recent ...",2024-01-26 05:31:40.087942
/watch?v=K8Z9Kqhrh5c&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@SkyNews,Sky News,Watch In Full: Trump versus Biden in the first US Presidential election debate,6.6M,3 years,US President Donald Trump and former Vice President Joe Biden go head-to-head in the first 2020 US election debate on 29 ...,2024-01-26 05:31:40.092214
/watch?v=psWluaOtTnU&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@fox4news,FOX 4 Dallas-Fort Worth,Election 2024: New Hampshire primary gets underway,21K,2 days,"Nikki Haley received the first votes as the New Hampshire primary officially got underway on Tuesday, Donald Trump is expected ...",2024-01-26 05:31:40.095292
/watch?v=AmIm6nf-JTU&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@SkyNews,Sky News,Hillary Clinton: Trump cannot win election - but Biden will,324K,9 months,"Hillary Clinton has told Sky News that Donald Trump will not win the next election and Joe Biden will be re-elected, whoever the ...",2024-01-26 05:31:40.098641
/shorts/0r6rekoHOnU,/@JoeBiden,Joe Biden,President Biden’s priorities vs. Donald Trump’s #shorts,901K,8 months,Our priorities are a little different from Donald Trump's.,2024-01-26 05:31:40.101715
/watch?v=C3UsWMbUpF4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@JoeBiden,Joe Biden,Keep Up | Joe Biden For President 2020,1.4M,3 years,#JoeBiden #Joe2020 #BidenForPresident Former Vice President Joe Biden is running for president to restore the soul of the ...,2024-01-26 05:31:48.696416
/watch?v=n2Xufahbaq4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@JoeBiden,Joe Biden,Go From There | Joe Biden For President 2020,1.8M,3 years,#JoeBiden #Joe2020 #BidenForPresident Former Vice President Joe Biden is running for president to restore the soul of the ...,2024-01-26 05:31:48.698263
/shorts/ZF3bfOaqU3U,/@CNBCInternationalTV,CNBC International TV,Will the 2024 U.S. election be a rematch between Trump and Biden?,1.8K,1 day,Will the U.S. presidential elections this year be a replay of 2020's Trump versus Biden? Political analyst Andrew Smith says that is ...,2024-01-26 05:31:48.699818
/watch?v=iW3VLOwwka0&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@thehill,The Hill,"Obama ‘WORRIED’ About Biden’s SLEEPY Re-Election Campaign, Polls Predict DOOM for Incumbent",73K,2 weeks,Briahna Joy Gray and Robby Soave discuss Former President Obama's encouraging President Joe Biden to bolster his 2024 ...,2024-01-26 05:31:48.701282
/shorts/pcL0oasrn2Y,/@CNN,CNN,Tapper calls Biden admission about 2024 presidential race ‘stunning’,146K,1 month,President Joe Biden told Democratic donors he wasn't confident he'd be seeking another term if his predecessor Donald Trump ...,2024-01-26 05:31:48.702760
/watch?v=moOxq_8l_34&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@CNBCtelevision,CNBC Television,"How Donald Trump, White House reacted to Joe Biden's projected election victory",8.4M,3 years,Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in ...,2024-01-26 05:31:48.704100
/watch?v=XTsLiHQBG9M&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@msnbc,MSNBC,"Joe: If Trump wins tonight, Republicans will lose again in the fall",308K,2 days,The Morning Joe panel discusses Donald Trump's campaign of grievances and why if he wins in New Hampshire on Tuesday ...,2024-01-26 05:31:48.708608
/watch?v=P69xdkqBJno&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@InsiderNews,Insider News,Highlights From Trump And Biden's Chaotic First Presidential Debate,5.9M,3 years,"President Donald Trump and former Vice President Joe Biden faced off publicly for the first 2020 presidential debate in Cleveland, ...",2024-01-26 05:31:48.715576
/watch?v=fmuAB5MqP0Y&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@WashingtonPost,Washington Post,Plagiarism in Joe Biden's 1988 presidential campaign,338K,4 years,"In his 1988 presidential bid, Joe Biden, who is now a Democratic presidential candidate for 2020, plagiarized portions of ...",2024-01-26 05:31:48.718674
/watch?v=BPOYVQhAuto&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@JoeBiden,Joe Biden,Vote For | Joe Biden For President 2020,90K,3 years,#JoeBiden #Joe2020 #BidenForPresident Former Vice President Joe Biden is running for president to restore the soul of the ...,2024-01-26 05:31:48.721298
/watch?v=sYVHJZHs37w&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@SkyNewsAustralia,Sky News Australia,Predictions Trump will win US presidential election in a rematch with Biden,3.2K,1 day,Centre of the American Experiment President John Hinderaker has predicted Donald Trump will win the US presidential election if ...,2024-01-26 05:31:48.724381
/watch?v=KEfsp1nD0J0&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@PBSNewsHour,PBS NewsHour,How leaders around the world are reacting to Biden's win,159K,3 years,"American presidential elections always draw intense interest globally. This year, Joe Biden's win was met with an array of ...",2024-01-26 05:31:48.727184
/shorts/exnWMgYFbbA,/@NBCNews,NBC News,President #Biden falls during U.S. #AirForceAcademy #graduation,5.9M,7 months,"President Biden fell on stage at the graduation ceremony for the U.S. Air Force Academy and is ""fine,"" a White House aide says.",2024-01-26 05:31:48.730757
/watch?v=oZUot1er0F4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@NBCNews,NBC News,"Trump overtakes Biden in polling of key swing states, Kornacki breaks it down",433K,2 months,"Former President Donald Trump leads President Joe Biden in five key battleground states, according to a New York Times and ...",2024-01-26 05:31:48.735720
/watch?v=BoxCIoYRTRA&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@BBCNews,BBC News,US Election:  Joe Biden on brink of victory - BBC News,2M,3 years,Joe Biden is on the verge of becoming the next president of the United States. The counting continues in a handful of remaining ...,2024-01-26 05:31:48.740381
/watch?v=gwka-mG1ke4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@guardiannews,Guardian News,Joe Biden’s path to victory: five days in five minutes,289K,3 years,President-elect Joe Biden has thanked the American people for their support after winning the US presidential election against ...,2024-01-26 05:31:48.743980
/watch?v=eolEz_jU-vs&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@CNN,CNN,Joe Biden addresses the nation after election victory,2.1M,3 years,President-elect Joe Biden delivered his first address after American voters chose the Democrat as its 46th president. #CNN ...,2024-01-26 05:31:48.747293
/watch?v=9yneWBp8P4g&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@ListenToTimesRadio,Times Radio,Trump 'likely to win' 2024 election as Biden loses support,31K,3 weeks,It looks more likely than not that Trump would win in a head to head.” It is “unbelievably likely” that Trump will secure the primary ...,2024-01-26 05:31:48.750378
/watch?v=GCSLM0CfuFY&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@CBCNews,CBC News,How America reacted when Joe Biden was elected president,1.1M,3 years,Voters gathered in cities across the United States to both celebrate and decry an historic Joe Biden presidential win.,2024-01-26 05:31:48.753755
/watch?v=VbOU2fTg6cI&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@JoeBiden,Joe Biden,Joe Biden For President: America Is An Idea,983K,4 years,"It's time for respected leadership on the world stage—and dignified leadership at home. It's time for equal opportunity, equal rights, ...",2024-01-26 05:31:48.756818
