video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OZS6ycf2Q6A&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@CNN,CNN,"Trump wins Wisconsin, closes in on 270 electoral votes",2.6M,7 years,"CNN projects that Donald Trump will win Wisconsin, putting him just 14 electoral votes away from winning the presidency.",2024-01-26 05:19:44.192307
/watch?v=muhrghfODOg&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@CNN,CNN,Donald Trump elected president,442K,7 years,CNN projects Donald Trump has been elected president of the United States of America.,2024-01-26 05:19:44.194094
/shorts/40jDchx1-KU,/@msnbc,MSNBC,Judge Judy: Hold your nose if it's Trump vs. Biden,324K,3 days,Judge Judy Sheindlin sat down with NBC News' Ali Vitali after endorsing Nikki Haley's presidential bid. The renowned TV judge ...,2024-01-26 05:19:44.195518
/watch?v=MXQG3hwxiso&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@WION,WION,"US Presidential Election: Trump escalates attack on Haley, targets her in campaign | WION",4K,7 days,"Morning in courtroom and evening in rallies, this is how Republican front runner Donald Trump is spending his days.",2024-01-26 05:19:44.196887
/watch?v=R4C2zC9R5oo&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@Foxla,FOX 11 Los Angeles,Trump fighting to stay in Colorado ballot for 2024 Presidential Election,66K,3 weeks,Former President Donald Trump is making his appeal in hopes of remaining on the Colorado ballot for the 2024 election.,2024-01-26 05:19:44.198373
/watch?v=J53aH2zEpDA&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@fox35,FOX 35 Orlando,"Gov. Ron DeSantis drops out of presidential race, he's now endorsing Donald Trump",43K,4 days,"In a video posted to X, formerly known as Twitter, Florida Governor Ron DeSantis announced he was dropping out of the ...",2024-01-26 05:19:44.199680
/watch?v=tamGyKdsegI&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@scrippsnews,Scripps News,Donald Trump wins New Hampshire's GOP primary,49K,2 days,Former President Donald Trump wins the GOP presidential primary in New Hampshire. The victory marks his second of the ...,2024-01-26 05:19:44.201069
/watch?v=Dy2-0ha9hTs&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@Foxla,FOX 11 Los Angeles,Donald Trump wins 2024 Iowa Caucus: AP,34K,10 days,"The Associated Press has reported that former President Donald Trump has won the 2024 Iowa Caucus, with second place still up ...",2024-01-26 05:19:44.202521
/watch?v=GvO2PIwvjew&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@GlennKirschner2,Glenn Kirschner,Nikki Haley might stay in the race because Donald Trump might be kicked off the presidential ballot,291K,1 day,Nikki Haley has now lost in Iowa and New Hampshire. But don't expect her to drop out of the race for the Republican nomination.,2024-01-26 05:19:44.203967
/watch?v=q1o32rwRcQ8&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@wsj,The Wall Street Journal,New Hampshire Primary: Nikki Haley’s Last Chance to Beat Donald Trump? | WSJ,111K,3 days,The New Hampshire GOP primary is now a one-on-one battle between former South Carolina Gov. Nikki Haley and former ...,2024-01-26 05:19:44.205788
/watch?v=605V5Y-l6l4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@WION,WION,"US Presidential Elections 2024: Nikki Haley closes in, 4% behind Donald Trump | WION",35K,1 month,The US Presidential race is heating up. Republican presidential candidate Nikki Haley is catching up to former US President ...,2024-01-26 05:19:52.158127
/watch?v=4PHfQpfFUyg&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@cnnnews18,CNN-News18,U.S. Presidential Election 2024 | Donald Trump Vs Nikki Haley In New Hampshire | World | News18,2.7K,2 days,U.S. Presidential Election 2024 | Donald Trump Vs Nikki Haley In New Hampshire | World | News18 U.S. President | It is going to ...,2024-01-26 05:19:52.166132
/watch?v=0e8NHXuqx94&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@Foxla,FOX 11 Los Angeles,"2024 Election: Trump dominates early, polls show",24K,6 months,The latest poll numbers indicate Donald Trump is dominating early in GOP primary states. Subscribe to FOX 11 on YouTube: ...,2024-01-26 05:19:52.175760
/watch?v=i8kjoK8XZyk&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@globalnews,Global News,Americans don’t want Trump-Biden rematch for 2024 US presidential elections: poll,18K,1 month,A new U.S. poll shows few Americans want to see a rematch of former president Donald Trump and President Joe Biden in the ...,2024-01-26 05:19:52.179101
/watch?v=qUip9BnHx18&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@CNN,CNN,Are those most opposed to Trump aiding his election?,111K,5 days,"With time running out, many institutional forces are trying to stop Trump. But, asks CNN's Michael Smerconish, are their efforts ...",2024-01-26 05:19:52.181641
/watch?v=w6L2K-VHkiM&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@CSPAN,C-SPAN,"Former President Donald Trump in Iowa: ""Even if you vote and then pass away, it's worth it.""",70K,11 days,C-SPAN: Created by Cable in 1979. Offered as a public service. Support C-SPAN by Donating Today: ...,2024-01-26 05:19:52.183617
/watch?v=0rBsnCsvxm4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@WION,WION,US Presidential Elections 2024: Nikki Haley Vs Donald Trump | WION,9.1K,1 month,The US Presidential race is heating up. Republican presidential candidate Nikki Haley is catching up to former US President ...,2024-01-26 05:19:52.185708
/watch?v=HMTSR-_xoCM&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@msnbc,MSNBC,Trump issues most chilling claim yet ahead of 2024 election,349K,13 days,"On the heels of his latest court appearance, Donald Trump is making his most chilling claim yet: That presidents should have total ...",2024-01-26 05:19:52.191307
/watch?v=iwiwW28_eYc&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@livenowfox,LiveNOW from FOX,"DeSantis drops out, endorses Trump days before New Hampshire primary | LiveNOW from FOX",58K,4 days,Florida Gov. Ron DeSantis is ending his 2024 Republican presidential campaign after failing to overtake rival Donald Trump in ...,2024-01-26 05:19:52.194657
/watch?v=lRuFvGTIL38&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@FoxNews,Fox News,Trump campaign team member reveals what he is looking for in his VP pick,316K,3 days,Trump campaign press secretary Karoline Leavitt joins 'Jesse Watters Primetime' to discuss the former president's potential ...,2024-01-26 05:19:52.198445
/watch?v=_oWIWMYz7lA&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@FoxNews,Fox News,Former President Trump calls for unity in victory speech at Iowa caucuses,868K,Streamed 10 days,Former President Trump delivers a victory speech at Iowa caucuses. Subscribe to Fox News! https://bit.ly/2vBUvAS Watch more ...,2024-01-26 05:19:52.202361
/watch?v=WsIIcxon6PU&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@CBSNews,CBS News,"Trump, Haley, voters react to DeSantis dropping out of 2024 presidential race",23K,3 days,"Ron DeSantis announced he was suspending his presidential campaign over the weekend, leaving Donald Trump and Nikki ...",2024-01-26 05:19:52.207608
/watch?v=djT5HHcTk10&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@CNN,CNN,Ron DeSantis ends his 2024 presidential campaign,465K,4 days,Florida Gov. Ron DeSantis announces he is ending his 2024 presidential bid in a video posted to X. The announcement comes ...,2024-01-26 05:19:52.210953
/watch?v=kXSy3XyF-eA&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@TheTimes,The Times and The Sunday Times,LIVE: Donald Trump victory speech in New Hampshire primary,71K,Streamed 2 days,"The Donald J. Trump for President Campaign hosts an election night watch party in Nashua, New Hampshire. Today's turnout for ...",2024-01-26 05:19:52.214687
/shorts/uK7z4kcI5qw,/@msnbc,MSNBC,Katie Phang: #Trump stole the 2016 #election,7M,9 months,MSNBC's Katie Phang breaks down why she believes Donald Trump stole the 2016 presidential election. » Subscribe to MSNBC: ...,2024-01-26 05:19:52.226198
/watch?v=Zn9MIuXoYtI&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@fallontonight,The Tonight Show Starring Jimmy Fallon,"Trump Confuses Nikki Haley with Nancy Pelosi, DeSantis Drops Out of Presidential Race | Tonight Show",213K,3 days,"Jimmy addresses the latest news, like Ron DeSantis announcing the end of his presidential campaign, Nikki Haley questioning ...",2024-01-26 05:19:52.231313
/watch?v=ohNgz_0PhRk&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@livenowfox,LiveNOW from FOX,Trump 2024: Historian predicts Donald Trump returns to White House | LiveNOW from FOX,141K,8 months,Historian and Hoover Institution senior fellow Niall Ferguson argued that former President Donald Trump is not only a strong ...,2024-01-26 05:19:52.243877
/shorts/jdu2Vt5JdAo,/@washingtonpostshorts,Washington Post Shorts,Will this county predict the next U.S. president?,2.7M,7 months,Who will win in 2024? Some experts are looking to one county in Wisconsin that has backed the presidential winner in every ...,2024-01-26 05:19:52.258437
/shorts/BVp64s4wTXM,/@CNN,CNN,Collins presses Trump on false election claims,3.9M,8 months,Former President Trump refused to concede the 2020 election and repeated false claims when pressed by CNN's Kaitlan Collins.,2024-01-26 05:19:52.262462
/watch?v=g1CqMmMApbM&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@SkyNewsAustralia,Sky News Australia,Donald Trump stands ‘very good chance’ at 2024 election,7.8K,5 days,Political commentator Shemeka Michelle says Donald Trump has a “very good chance” of taking the White House despite the list ...,2024-01-26 05:19:52.271309
